Number of players,,All,41,EN,15,CN,14,JP,12,Language Usage,,
Unit,,Count,Usage,EN-Count,EN-Usage,CN-Count,CN-Usage,JP-Count,JP-Usage,EN,CN,JP
,Sakura Legendary,41,100.00%,15,100.00%,14,100.00%,12,100.00%,36.59%,34.15%,29.27%
,Chrom Feroxi,39,95.12%,14,93.33%,14,100.00%,11,91.67%,35.90%,35.90%,28.21%
,Alfador Mythic,38,92.68%,15,100.00%,14,100.00%,9,75.00%,39.47%,36.84%,23.68%
,Heimdallr Mythic,38,92.68%,14,93.33%,14,100.00%,10,83.33%,36.84%,36.84%,26.32%
,Thorr Summer Duo,36,87.80%,12,80.00%,14,100.00%,10,83.33%,33.33%,38.89%,27.78%
,Ike Brave Harmonic,33,80.49%,10,66.67%,13,92.86%,10,83.33%,30.30%,39.39%,30.30%
,Black Knight Legendary,31,75.61%,12,80.00%,14,100.00%,5,41.67%,38.71%,45.16%,16.13%
,Plumeria Spring Harmonic,29,70.73%,7,46.67%,14,100.00%,8,66.67%,24.14%,48.28%,27.59%
,Byleth (M) Brave,27,65.85%,6,40.00%,13,92.86%,8,66.67%,22.22%,48.15%,29.63%
,Celica Summer Harmonic,26,63.41%,9,60.00%,14,100.00%,3,25.00%,34.62%,53.85%,11.54%
,Lyn Brave Harmonic,26,63.41%,9,60.00%,11,78.57%,6,50.00%,34.62%,42.31%,23.08%
,Micaiah Emblem,26,63.41%,9,60.00%,10,71.43%,7,58.33%,34.62%,38.46%,26.92%
,Loki Mythic,25,60.98%,8,53.33%,9,64.29%,8,66.67%,32.00%,36.00%,32.00%
,Ryoma Attuned,25,60.98%,9,60.00%,8,57.14%,8,66.67%,36.00%,32.00%,32.00%
,Ivy Winter Harmonic,24,58.54%,10,66.67%,9,64.29%,5,41.67%,41.67%,37.50%,20.83%
,Camilla Young,22,53.66%,8,53.33%,6,42.86%,8,66.67%,36.36%,27.27%,36.36%
,Marth (Masked) Feroxi,22,53.66%,7,46.67%,11,78.57%,4,33.33%,31.82%,50.00%,18.18%
,Freyja Halloween Duo,21,51.22%,8,53.33%,3,21.43%,10,83.33%,38.10%,14.29%,47.62%
,Eikthyrnir Brave,20,48.78%,4,26.67%,12,85.71%,4,33.33%,20.00%,60.00%,20.00%
,Ingrid Teatime Harmonic,20,48.78%,8,53.33%,7,50.00%,5,41.67%,40.00%,35.00%,25.00%
,Alfonse Chosen,17,41.46%,8,53.33%,3,21.43%,6,50.00%,47.06%,17.65%,35.29%
,Corrin (F) Emblem,17,41.46%,12,80.00%,2,14.29%,3,25.00%,70.59%,11.76%,17.65%
,Vali Mythic,17,41.46%,7,46.67%,2,14.29%,8,66.67%,41.18%,11.76%,47.06%
,Lucina Ninja Duo,15,36.59%,4,26.67%,9,64.29%,2,16.67%,26.67%,60.00%,13.33%
,Lyn Mythic,15,36.59%,7,46.67%,6,42.86%,2,16.67%,46.67%,40.00%,13.33%
,Marth Anniversary Duo,14,34.15%,5,33.33%,0,0.00%,9,75.00%,35.71%,0.00%,64.29%
,Rhea Valentine's Duo,13,31.71%,1,6.67%,8,57.14%,4,33.33%,7.69%,61.54%,30.77%
,Seidr Winter,13,31.71%,3,20.00%,8,57.14%,2,16.67%,23.08%,61.54%,15.38%
,Yunaka Ninja,12,29.27%,5,33.33%,2,14.29%,5,41.67%,41.67%,16.67%,41.67%
,Nergal Fallen,11,26.83%,4,26.67%,4,28.57%,3,25.00%,36.36%,36.36%,27.27%
,Laeradr Mythic,8,19.51%,4,26.67%,4,28.57%,0,0.00%,50.00%,50.00%,0.00%
,Veronica Teatime,6,14.63%,1,6.67%,2,14.29%,3,25.00%,16.67%,33.33%,50.00%
,Corrin (F) Brave,5,12.20%,1,6.67%,0,0.00%,4,33.33%,20.00%,0.00%,80.00%
,Hrid Ninja,5,12.20%,1,6.67%,0,0.00%,4,33.33%,20.00%,0.00%,80.00%
,Peony Halloween,5,12.20%,0,0.00%,2,14.29%,3,25.00%,0.00%,40.00%,60.00%
,Alfred Winter,4,9.76%,4,26.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Ash Entwined,4,9.76%,2,13.33%,0,0.00%,2,16.67%,50.00%,0.00%,50.00%
,Heidrun New Year Duo,4,9.76%,2,13.33%,1,7.14%,1,8.33%,50.00%,25.00%,25.00%
,Elincia Duo,3,7.32%,2,13.33%,0,0.00%,1,8.33%,66.67%,0.00%,33.33%
,Sharena Entwined,3,7.32%,1,6.67%,0,0.00%,2,16.67%,33.33%,0.00%,66.67%
,Sigurd Emblem,3,7.32%,1,6.67%,0,0.00%,2,16.67%,33.33%,0.00%,66.67%
,Alm Attuned,2,4.88%,1,6.67%,0,0.00%,1,8.33%,50.00%,0.00%,50.00%
,Igrene Nabata Harmonic,2,4.88%,2,13.33%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Morgan (F) Fallen,2,4.88%,1,6.67%,0,0.00%,1,8.33%,50.00%,0.00%,50.00%
,Sonia,2,4.88%,0,0.00%,0,0.00%,2,16.67%,0.00%,0.00%,100.00%
,Tana New Year,2,4.88%,1,6.67%,0,0.00%,1,8.33%,50.00%,0.00%,50.00%
,Tharja Attuned,2,4.88%,1,6.67%,0,0.00%,1,8.33%,50.00%,0.00%,50.00%
,Vanitas Rearmed,2,4.88%,1,6.67%,0,0.00%,1,8.33%,50.00%,0.00%,50.00%
,Ymir,2,4.88%,1,6.67%,0,0.00%,1,8.33%,50.00%,0.00%,50.00%
,Askr New Year Duo,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Baldr Brave,1,2.44%,0,0.00%,1,7.14%,0,0.00%,0.00%,100.00%,0.00%
,Bernadetta Brave,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Chrom Brave,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Diamant Legendary,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Edelgard Valentine's,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Eirika Emblem,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Elise Valentine's Duo,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Fir Feroxi Harmonic,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Flora,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Gatekeeper Winter,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Hector Attuned,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Hilda,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Hilda Summer Duo,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Hinoka Rearmed,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Hortensia Winter,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Hraesvelgr Mythic,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Joshua Ascended,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Karel,1,2.44%,0,0.00%,1,7.14%,0,0.00%,0.00%,100.00%,0.00%
,Lachesis,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Leo Young,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Leonie Summer,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Lif Valentine's Duo,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Lyn,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Lyn Brave,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Lyn Emblem,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Lyn Flame,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Lyn Ninja Duo,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Lyn Summer,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Meliai,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
